timeslot,session,submission #,title
Thu-am,Thu-am_3,1256,A Unified Automata-Theoretic Approach to LTL_f Modulo Theories
Thu-am,Thu-am_3,936,Belief Erasure in Propositional Logic
Thu-am,Thu-am_3,2020,Dealing with inconsistency by syntactic compartmentalization
Thu-am,Thu-am_3,1328,A novel view of analogical proportion between formulas
Thu-am,Thu-am_4,2311,Automated Synthesis of Certified Neural Networks
Thu-am,Thu-am_4,1593,Differentiable Logic Programming for Distant Supervision
Thu-am,Thu-am_4,2064,Learning logic programs by finding minimal unsatisfiable subprograms
Thu-am,Thu-am_4,2490,stl2vec: Semantic and Interpretable Vector Representation of Temporal Logic
Thu-am,Thu-am_4,2686,"Learning Compositional, Time-Varying Neural Barrier Contracts"
Thu-am,Thu-am_4,2315,"EXPLAIN, AGREE, LEARN: Scaling Learning for Neural Probabilistic Logic"
Thu-am,Thu-am_4,2485,LTL is Enough: a Neuro-Symbolic Self-Groundable Reward Machine
Thu-am,Thu-am_4,1852,"Reduce, Reuse, Recycle: Categories for Compositional Reinforcement Learning"
Thu-am,Thu-am_6,2210,ALOE: Boosting Large Language Model Fine-Tuning with Aggressive Loss-based Elimination of Samples
Thu-am,Thu-am_6,295,RADAr: A Transformer-based Autoregressive Decoder Architecture for Hierarchical Text Classification
Thu-am,Thu-am_6,452,SAIE Framework: Support Alone Isn't Enough - Advancing LLM Training with Adversarial Remarks
Thu-am,Thu-am_6,2887,Is Contrasting All You Need? Contrastive Learning for the Detection and Attribution of AI-generated Text
Thu-am,Thu-am_6,209,SUBLLM: A Novel Efficient Architecture with Token Sequence Subsampling for LLM
Thu-am,Thu-am_6,1722,Large Language Model Prompting With Episodic Memory
Thu-am,Thu-am_6,915,CLLMFS: A Contrastive Learning enhanced Large Language Model Framework for Few-Shot Named Entity Recognition
Thu-am,Thu-am_6,1229,Tailored-LLaMA: Optimizing Few-Shot Learning in Pruned LLAMA Models with Task-Specific Prompts
Thu-am,Thu-am_7,2390,FltLM: An Intergrated Long-Context Large Language Model for Effective Context Filtering and Understanding
Thu-am,Thu-am_7,1417,Enhancing Text-to-SQL Capabilities of Large Language Models via Domain Database Knowledge Injection
Thu-am,Thu-am_7,1566,Language Task Difficulty Prediction through LLM-Annotated Meta-Features
Thu-am,Thu-am_7,1627,ANSPRE: Improving Question-Answering in Large Language Models with Answer-Prefix Generation
Thu-am,Thu-am_7,1974,Prompt based Data Augmentation using Contrastive Learning under low resource scenario
Thu-am,Thu-am_7,1418,R4: Reinforced Retriever-Reorder-Responder for Retrieval-Augmented Large Language Models
Thu-am,Thu-am_7,1304,Enhancing Retrieval and Managing Retrieval: A Four-Module Synergy for Improved Quality and Efficiency in RAG Systems
Thu-am,Thu-am_7,561,FsPONER: Few-shot Prompt Optimization for Named Entity Recognition in Domain-specific Scenarios
Thu-am,Thu-am_9,2074,Fairness in Repeated House Allocation
Thu-am,Thu-am_9,969,Incentive and Fairness of Ordered Weighted Average for Facility Location Games
Thu-am,Thu-am_9,2629,A Gale-Shapley View of Unique Stable Marriages
Thu-am,Thu-am_9,1601,Distribution of Chores with Information Asymmetry
Thu-am,Thu-am_9,1594,Explaining the Lack of Locally Envy-Free Allocations
Thu-am,Thu-am_9,815,Online Friends Partitioning under Uncertainty
Thu-am,Thu-am_9,783,Complexity and Approximation Schemes for Social Welfare Maximization in the High-Multiplicity Setting
Thu-am,Thu-am_9,1510,Mechanism Design for Extending the Accessibility of Facilities
